"","spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"2023957","5KD6AEm19QnMbfWpfoOHMl","Now That We Don't Talk (Taylor's Version) (From The Vault)","Taylor Swift",14,-1,-9,"NZ","2023-11-10",91,"False",146436,"1989 (Taylor's Version)","2023-10-26",0.793,0.512,0,-9.319,1,0.0338,0.186,3.81e-05,0.0889,0.0662,109.994,4
"1168969","5OC347cwcGpiwnHt0YmToq","było, minęło","sanah",6,1,2,"PL","2024-07-05",67,"False",207169,"Kaprysy","2024-06-13",0.797,0.608,4,-6.804,1,0.0424,0.666,0.0309,0.174,0.482,105.982,4
"135765","2gQL4ZVAKKo1Cw0RviyBGm","الضرب ع العيون واجب - لبسو سهرو واصرفو","Essam Sasa",25,-2,25,"EG","2025-05-05",60,"False",216973,"الضرب ع العيون واجب (لبسو سهرو واصرفو)","2025-04-04",0.89,0.949,9,-0.317,1,0.0841,0.116,0,0.0776,0.854,109.992,4
"795699","1R4g4jxHARgfesI2g9H59g","Arriadin por Tu - Ao Vivo","Zé Vaqueiro, João Gomes",29,6,15,"BR","2024-10-16",73,"False",161798,"Ser Tão Eu - Parte 3 (Ao Vivo)","2024-09-19",0.596,0.954,2,-0.494,0,0.0583,0.684,2.21e-06,0.455,0.675,139.891,4
"1426967","48lxT5qJF0yYyf2z4wB4xW","Pedro","Jaxomy, Agatino Romero, Raffaella Carrà",4,1,5,"BE","2024-04-26",88,"False",144846,"Pedro","2024-03-29",0.788,0.936,9,-6.294,1,0.301,0.0229,1.3e-06,0.311,0.844,151.019,4
"858229","2bqS0QtnXGjOYs3z6VtSyW","Контракт","Poshlaya Molly",16,0,2,"UA","2024-09-28",63,"False",204756,"Контракт","2021-03-12",0.682,0.806,0,-6.184,1,0.0418,0.000461,0,0.217,0.872,109.972,4
"1511028","14k3Rb7Xgte9fsndjdenmq","Te Lo Agradezco","Kany García, Carin Leon",26,4,0,"CR","2024-04-01",77,"False",183667,"Lo Más Escuchado del 2023","2023-12-14",0.549,0.584,7,-3.976,1,0.147,0.301,0,0.109,0.594,179.839,3
"840384","7BRD7x5pt8Lqa1eGYC4dzj","CHIHIRO","Billie Eilish",18,3,3,"SA","2024-10-03",89,"False",303440,"HIT ME HARD AND SOFT","2024-05-17",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
"212187","6iycYUk3oB0NPMdaDUrN1w","EVIL J0RDAN","Playboi Carti",35,-7,-17,"BG","2025-04-06",92,"True",183928,"MUSIC","2025-03-14",0.689,0.36,1,-7.029,1,0.0564,0.00665,6.11e-05,0.119,0.0599,154.009,4
"1266432","0mflMxspEfB0VbI1kyLiAv","Stick Season","Noah Kahan",19,0,-1,"AU","2024-06-09",87,"False",182346,"Stick Season","2022-10-14",0.664,0.5,9,-6.935,1,0.0651,0.799,0,0.0966,0.801,117.896,4
"1868780","0HLSHAhE13XbkJDzyZymzQ","Maailman ympäri","Costi",47,-1,-6,"FI","2023-12-23",55,"False",148574,"Coast to Costi","2023-11-16",0.714,0.645,0,-5.676,0,0.0611,0.127,0.283,0.0997,0.667,84.017,4
"1136462","1bjeWoagtHmUKputLVyDxQ","Saturn","SZA",49,-5,-22,"NZ","2024-07-14",90,"False",186191,"Saturn","2024-02-22",0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,4
"15574","7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams",24,-6,-5,"NZ","2025-06-07",96,"True",166300,"The Secret of Us (Deluxe)","2024-10-18",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
"738829","7HuBqX0G5mJTd8TEiPZ40K","DNA","Y4ska, Jireel, ROMANOS",6,0,0,"SE","2024-10-31",66,"True",131850,"DNA","2024-09-27",0.745,0.578,2,-7.04,1,0.0597,0.579,0.0148,0.115,0.517,100.044,4
"2109941","0redQHBfejmPUhonR5ppGC","Duas Três","Guilherme & Benuto, Ana Castela, Adriano Rhod",25,25,0,"BR","2023-10-18",85,"False",156942,"Duas Três","2023-02-09",0.656,0.842,5,-3.746,0,0.201,0.574,0,0.689,0.721,159.918,4
"602199","3YrTrs2hJbLklaBdhr4TrH","ETA - RMX","ROA, De La Rose, Luar La L, Yan Block, Omar Courtz",13,1,37,"VE","2024-12-18",51,"True",462561,"Private Suite (Vol. 2)","2024-12-13",0.606,0.744,10,-4.661,0,0.208,0.436,0,0.109,0.558,87.993,4
"1445975","2HRgqmZQC0MC7GeNuDIXHN","Seven (feat. Latto) (Explicit Ver.)","Jung Kook, Latto",12,-7,4,"AE","2024-04-19",87,"True",183550,"GOLDEN","2023-11-03",0.79,0.831,11,-4.185,1,0.044,0.312,0,0.0797,0.872,124.987,4
"155379","2BE1Q5N4Enl1eRrM82uzsu","Solcito","Miguel Bueno, Juan Duque",47,-2,-6,"SV","2025-04-21",87,"False",144000,"Solcito","2025-03-13",0.762,0.57,11,-6.598,1,0.0707,0.674,0,0.315,0.734,100.015,4
"1820223","3rUGC1vUpkDG9CZFHMur1t","greedy","Tate McRae",4,1,0,"MY","2024-01-05",98,"True",131872,"greedy","2023-09-15",0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,1
"2069773","53PpijFATt35Zxfl6LTxoK","Leão","Marília Mendonça",29,-9,-2,"BR","2023-10-29",75,"False",166774,"Decretos Reais","2023-05-25",0.743,0.865,6,-3.897,1,0.0315,0.449,3.05e-06,0.297,0.794,129.999,4
"1622235","2XY8epv0D64xqErIL21PJx","Bu Gece Karakolluk Olabilirim","Heijan, Azer Bülbül",50,0,-11,"TR","2024-02-28",67,"False",175352,"Bu Gece Karakolluk Olabilirim","2024-01-12",0.61,0.746,9,-5.187,0,0.0634,0.469,0,0.318,0.576,141.946,4
"1416015","3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone",2,0,0,"BE","2024-04-29",88,"False",180304,"Fireworks & Rollerblades","2024-04-05",0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
"969512","2dIBMHByUGcNPzmYBJ6OAj","Evaluasi","Hindia",49,-8,-9,"ID","2024-08-29",75,"False",194469,"Menari Dengan Bayangan","2019-11-29",0.609,0.966,7,-4.469,1,0.0571,0.00194,2.83e-06,0.304,0.505,102.014,4
"198563","0DMJz677XfXiiruhIELu2e","VITAMINA","Jombriel, DFZM, Jøtta",4,0,3,"SV","2025-04-09",88,"False",208743,"VITAMINA","2025-02-27",0.815,0.746,10,-4.855,0,0.0528,0.015,2.26e-06,0.056,0.768,92.007,4
"1502009","3JvKfv6T31zO0ini8iNItO","Another Love","Tom Odell",46,3,4,"NO","2024-04-03",88,"True",244360,"Long Way Down (Deluxe)","2013-06-24",0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4
"724540","7BRD7x5pt8Lqa1eGYC4dzj","CHIHIRO","Billie Eilish",16,3,5,"SA","2024-11-04",88,"False",303440,"HIT ME HARD AND SOFT","2024-05-17",0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,4
"1372838","5XWlyfo0kZ8LF7VSyfS4Ew","Drama","aespa",25,1,8,"TW","2024-05-10",83,"False",214973,"Drama - The 4th Mini Album","2023-11-10",0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016,4
"1399914","2HBs1RbJlztQiTTK0kL25P","Este Hombre (El Tesoro)","Amaru",1,49,49,"IS","2024-05-03",50,"False",205920,"Este Hombre (El Tesoro)","2024-04-19",0.871,0.744,1,-8.426,1,0.0703,0.00107,0.0117,0.0771,0.529,125.956,4
"379635","42b0KMmRgqmJz7kgYWfekW","Sin Tu Amor","La Mega Orquesta Del Don Equis",1,49,49,"NI","2025-02-18",43,"False",154200,"Sin Tu Amor","2025-02-02",0.696,0.408,5,-11.957,0,0.0307,0.0915,0,0.363,0.763,88.061,4
"1016894","3U5JVgI2x4rDyHGObzJfNf","Unwritten","Natasha Bedingfield",31,14,11,"IE","2024-08-16",88,"False",259333,"Unwritten","2004-08-30",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
"894854","4bjN59DRXFRxBE1g5ne6B1","Haegeum","Agust D",41,-5,9,"TH","2024-09-18",85,"False",168926,"D-DAY","2023-04-21",0.697,0.837,7,-2.651,1,0.304,0.313,0,0.471,0.831,85.097,5
"1696949","4VXiDjCRkKHvXFhSX7OEri","Loca","Bruno X Spacc",23,1,-16,"HU","2024-02-08",60,"False",114392,"Loca","2023-12-31",0.816,0.728,8,-6.478,0,0.0681,0.554,0.00261,0.116,0.936,107.019,4
"718247","3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish",18,-3,13,"LV","2024-11-06",92,"False",261466,"HIT ME HARD AND SOFT","2024-05-17",0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
